('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         635329 function calls (610448 primitive calls) in 1.100 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
      484    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
    52/14    0.001    0.000    0.015    0.001 css_parser.py:925(parse_selectors)
      268    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:721(spec_from_file_location)
     1007    0.001    0.000    0.001    0.000 sre_parse.py:433(_uniq)
     1173    0.001    0.000    0.002    0.000 sre_compile.py:447(_simple)
      154    0.001    0.000    0.001    0.000 _events.py:31(__init__)
     6410    0.001    0.000    0.001    0.000 {method 'end' of 're.Match' objects}
       56    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
     6600    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     1497    0.001    0.000    0.001    0.000 sre_parse.py:169(__setitem__)
      162    0.001    0.000    0.008    0.000 typing.py:483(Union)
     2251    0.001    0.000    0.002    0.000 css_parser.py:319(match)
      367    0.001    0.000    0.002    0.000 sre_compile.py:435(_mk_bitmap)
  299/298    0.001    0.000    0.002    0.000 _readers.py:137(__call__)
       15    0.001    0.000    0.002    0.000 __init__.py:328(namedtuple)
1796/1050    0.001    0.000    0.002    0.000 typing.py:1037(__hash__)
     1273    0.001    0.000    0.001    0.000 element.py:1317(is_empty_element)
     1007    0.001    0.000    0.001    0.000 {built-in method fromkeys}
        4    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      568    0.001    0.000    0.001    0.000 enum.py:470(__setattr__)
    242/3    0.001    0.000    0.339    0.113 <frozen importlib._bootstrap_external>:877(exec_module)
     1229    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
      195    0.001    0.000    0.088    0.000 sre_parse.py:944(parse)
      300    0.001    0.000    0.005    0.000 _connection.py:382(next_event)
      149    0.001    0.000    0.551    0.004 sync.py:22(read)
     1447    0.001    0.000    0.001    0.000 element.py:1489(get)
       25    0.001    0.000    0.001    0.000 enum.py:222(<setcomp>)
      300    0.001    0.000    0.003    0.000 _connection.py:356(_extract_next_receive_event)
     2138    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
      137    0.001    0.000    0.005    0.000 typing.py:1138(__getitem__)
      450    0.001    0.000    0.001    0.000 sre_parse.py:85(opengroup)
      242    0.001    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      433    0.001    0.000    0.001    0.000 element.py:934(__new__)
      242    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:585(_classify_pyc)
      460    0.001    0.000    0.001    0.000 contextlib.py:139(__exit__)
       77    0.001    0.000    0.005    0.000 css_parser.py:474(parse_attribute_selector)
  270/268    0.001    0.000    0.020    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
      460    0.001    0.000    0.001    0.000 contextlib.py:102(__init__)
     3805    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     1993    0.000    0.000    0.001    0.000 element.py:1906(descendants)
      421    0.000    0.000    0.001    0.000 sre_parse.py:259(getwhile)
     1274    0.000    0.000    0.000    0.000 __init__.py:205(can_be_empty_element)
      745    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:404(parent)
      679    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1356(_path_importer_cache)
        5    0.000    0.000    0.137    0.027 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       15    0.000    0.000    0.007    0.000 dataclasses.py:882(_process_class)
      875    0.000    0.000    0.001    0.000 typing.py:137(_type_convert)
      162    0.000    0.000    0.001    0.000 typing.py:267(_remove_dups_flatten)
      436    0.000    0.000    0.003    0.000 typing.py:947(__init__)
      154    0.000    0.000    0.001    0.000 _connection.py:230(_process_event)
      600    0.000    0.000    0.005    0.000 enum.py:359(__call__)
     1889    0.000    0.000    0.001    0.000 __init__.py:122(unescape)
      195    0.000    0.000    0.001    0.000 enum.py:986(__and__)
      136    0.000    0.000    0.001    0.000 css_parser.py:371(__init__)
     1135    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      150    0.000    0.000    0.132    0.001 http11.py:160(_receive_response_body)
     1156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:897(__exit__)
      518    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      294    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:198(cb)
      578    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
     1297    0.000    0.000    0.001    0.000 sre_parse.py:82(groups)
      268    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1531(_get_spec)
       13    0.000    0.000    0.001    0.000 enum.py:553(<listcomp>)
      598    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      968    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      382    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
     1156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:893(__enter__)
      432    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      195    0.000    0.000    0.055    0.000 sre_compile.py:622(_code)
     1274    0.000    0.000    0.000    0.000 __init__.py:453(set_up_substitutions)
     2848    0.000    0.000    0.000    0.000 element.py:1532(__bool__)
      154    0.000    0.000    0.000    0.000 {method 'settimeout' of '_socket.socket' objects}
      294    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:71(__init__)
     1204    0.000    0.000    0.000    0.000 parser.py:126(clear_cdata_mode)
      268    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:510(_get_cached)
      290    0.000    0.000    0.001    0.000 __init__.py:89(find_spec)
  214/176    0.000    0.000    0.000    0.000 sre_compile.py:485(_get_literal_prefix)
      321    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      308    0.000    0.000    0.001    0.000 css_parser.py:250(css_unescape)
      433    0.000    0.000    0.000    0.000 __init__.py:495(string_container)
     2496    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
      510    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:391(cached)
     1273    0.000    0.000    0.000    0.000 _markupbase.py:36(getpos)
      154    0.000    0.000    0.000    0.000 _state.py:258(_fire_state_triggered_transitions)
     1115    0.000    0.000    0.000    0.000 typing.py:1031(__eq__)
     1909    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      587    0.000    0.000    0.001    0.000 enum.py:678(__new__)
      290    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:357(__init__)
      296    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      294    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:169(__enter__)
     1909    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      195    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       54    0.000    0.000    0.004    0.000 dataclasses.py:412(_create_fn)
     1314    0.000    0.000    0.000    0.000 typing.py:1022(<genexpr>)
     2467    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      288    0.000    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
      435    0.000    0.000    0.001    0.000 _htmlparser.py:195(handle_data)
      460    0.000    0.000    0.001    0.000 contextlib.py:279(helper)
      150    0.000    0.000    0.133    0.001 _models.py:850(iter_raw)
     1160    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      298    0.000    0.000    0.000    0.000 _receivebuffer.py:76(maybe_extract_at_most)
      460    0.000    0.000    0.000    0.000 contextlib.py:130(__enter__)
  136/131    0.000    0.000    0.003    0.000 css_parser.py:397(freeze)
       75    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
  243/241    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:542(_check_name_wrapper)
       62    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
      202    0.000    0.000    0.004    0.000 typing.py:1147(copy_with)
   172/62    0.000    0.000    0.165    0.003 <frozen importlib._bootstrap>:1053(_handle_fromlist)
      195    0.000    0.000    0.000    0.000 sre_parse.py:225(__init__)
       94    0.000    0.000    0.000    0.000 sre_parse.py:268(getuntil)
      149    0.000    0.000    0.137    0.001 _models.py:795(iter_bytes)
      450    0.000    0.000    0.009    0.000 sre_parse.py:97(closegroup)
      189    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      431    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
    346/3    0.000    0.000    0.339    0.113 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
      167    0.000    0.000    0.001    0.000 typing.py:253(_deduplicate)
     1025    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
      355    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      136    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
      242    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1089(path_stats)
      432    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
